"관광타입","음식점"
"음식점명","캄머 레스토랑 펍"
"개요","제주 서귀포 모슬포 요리 주점 캄머 레스토랑 앤 펍, 구 커피캄머 예약제입니다. 시그니쳐 메뉴는 직화로 구우는 캄머 모듬 바베큐 플래터입니다. 소고기 스테이크, 제주산 돼지 갈비, 제주 흑돼지 풀드포크 등으로 구성되어 있어요. 피자와 일부 안주 메뉴는 방문 후 주문하셔도 됩니다. 전화 한번 주세요. 이탈리아 현지식 레시피와 제주산 흑돼지로 텍사스 훈연 바베큐를 고수하고 있으며 새벽 2시까지 운영합니다. 각종 다양한 주류와 맛있는 수제 음식들을 즐기실 수 있으며 제주도의 특산물인 제주 흑돼지를 이용한 풀드포크, 12시간 이상의 작업으로 진한 맛이 일품인 제주 랍스타 코스, 화덕 피자 등 다채로운 메뉴들이 준비되어 있습니다. 이탈리아, 스위스 등지에서 공수해 온 각종 골동품이 전시되어 있으며 아티스틱한 인테리어로 유럽 현지에 와있는 분위기를 자아냅니다. 송악산, 산방산, 운진항, 추사관, 제주오설록티뮤지움, 곶자왈 도립공원, 용머리해안 등 제주 남서부 주요 관광지에서 차량으로 10분거리 내에 위치해 있어요. 삼원공업사, 왕손가든, 하늘모터스, 대정블럭사, 덕구상회가 인접해 있습니다."
"주소","제주 서귀포시 대정읍 상모대서로66번길 17"
"주소(도로명)","제주특별자치도 서귀포시 대정읍 상모대서로66번길 17"
"주소(지번주소)","제주특별자치도 서귀포시 대정읍 상모리 3243"
"대표번호","064-794-3303"
"영업시간","전화문의"
"휴무일","전화문의"
"취급메뉴","캄머 모듬 바베큐 플래터, 흑돼지 풀드포크 플래터"
"주차시설 유무","있음"
"리뷰키워드","없음"
