"관광타입","음식점"
"음식점명","굽네치킨 제주영어도시점"
"개요","튀기지 않고 오븐에 구워 치킨 본연의 맛을 선보이겠다는 도전적인 발상은 기름은 쏙 빼고 그 자리에 맛과 건강을 채워 넣는 치킨 혁신으로 이어졌습니다. 더 맛있고, 더 건강한 치킨을 만들기 위한 굽네치킨의 고집, 대한민국을 넘어 세계에서 새로운 치킨 문화를 이끌어가고 있습니다. 해동그린앤골드 아파트가 인접해 있습니다."
"주소","제주 서귀포시 대정읍 에듀시티로 23 해동그린앤골드 상가 105호"
"주소(도로명)","제주특별자치도 서귀포시 대정읍 에듀시티로 23"
"주소(지번주소)","제주특별자치도 서귀포시 대정읍 구억리 1115"
"대표번호","064-792-8293"
"영업시간","15:30 - 23:30"
"휴무일","없음"
"취급메뉴","남해마늘바사삭, 오븐바사삭"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 주차하기 편해요, 특별한 메뉴가 있어요"
