"관광타입","음식점"
"음식점명","우사미 서귀포시 대정읍"
"개요","우리 사장님이 미쳤어요. 우사미 횟집입니다. 신선한 재료만을 이용하여 바다의 깊은 맛을 선보여드리고자 하는 것이 저희의 가게 신념입니다. 제철 생선을 이용한 사시미 모듬회부터 다금바리, 벵어돔, 방어 등 회세트메뉴. 진하게 우려낸 깊은 맛을 간직한 돔매운탕과 돔지리까지 맛보실 수 있습니다. 따로 마련된 룸에서 최대 12인까지 프라이빗한 식사가 가능합니다. 다양한 코스 요리와 친절한 서비스, Fresh한 맛까지 눈과 입이 즐거운 우사미 횟집으로 초대합니다. 모슬포항이 인접해 있습니다."
"주소","제주 서귀포시 대정읍 최남단해안로 51"
"주소(도로명)","제주특별자치도 서귀포시 대정읍 최남단해안로 51"
"주소(지번주소)","제주특별자치도 서귀포시 대정읍 하모리 2136-4"
"대표번호","064-792-2991"
"영업시간","전화문의"
"휴무일","전화문의"
"취급메뉴","사시미 모듬회, 돔지리"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 양이 많아요, 재료가 신선해요, 가성비가 좋아요"
