"관광타입","음식점"
"음식점명","박김식당"
"개요","기존에 수년간 정식집을 운영해 오다가 이번에 새로운 곳으로 자리를 옮기면서 보말이라는 키워드로 새 메뉴를 개발하여 같이 선보이게 되었습니다. 대표메뉴는 고둥 쌈밥정식입니다. 제주도 바다에서 나는 보말이라는 식재료로 강된장을 만들고 돼지고기 두루치기와 각종 쌈 채소를 가득 내어서 건강한 밥상을 만들었습니다. 각종 밑반찬들도 전라도에서 식당을 20여 년 동안 해오신 어머니의 손맛이 가득하여 맛은 자신할 수 있습니다. 저녁에는 묵은지 등갈비찜, 제주오겹살 등 가볍게 한잔할 수 있는 메뉴들도 있습니다. 앞으로 더 좋은 맛을 낼 수 있도록 끊임없이 연구하고 더 좋은 서비스를 드릴 수 있도록 계속 노력하겠습니다. 감사합니다. 영락리 마을회관이 인접해 있습니다."
"주소","제주 서귀포시 대정읍 영락중동로 30"
"주소(도로명)","제주특별자치도 서귀포시 대정읍 영락중동로 30"
"주소(지번주소)","제주특별자치도 서귀포시 대정읍 영락리 867-2"
"대표번호","0507-1353-0957"
"영업시간","11:00 - 14:00"
"휴무일","매주 일요일"
"취급메뉴","박김정식, 토종닭백숙"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 가성비가 좋아요, 친절해요, 재료가 신선해요, 양이 많아요"
