"관광타입","음식점"
"음식점명","제주오광흑돼지"
"개요","제주 서귀포 모슬포항에 오면 꼭 들른다는 제주 핫플레이스 숯 초벌 제주 흑돼지 전문점입니다. 예쁜 밤 야경에 맥주와 함께하는 흑돼지구이로 소중한 사람들과 추억을 남겨보세요. 인스타용 맛집이 아닌 찐 맛집입니다. 제주산 특급 흑돼지 생고기에 맞는 오광흑돼지만의 특제소스는 상상만으로도 침샘을 자극하기 충분합니다. 오광흑돼지만의 철칙이 있습니다. 1. 무조건 식재료는 최상으로 제공한다. 최상등급 흑돼지, 가장 신선한 채소와 찬거리, 무엇보다도 항상 청결 및 위생 철저합니다. 2. 음식은 혀로만 먹는 게 아니다. 눈, 코, 입, 귀, 오감이 만족되어야 한다. 멋지고 예쁜 야경, 오색찬란한 식재료, 살살 녹는 육즙, 귀에 스치는 바람 소리, 도란도란 알콩달콩 분위기입니다. 3. 제주 서귀포의 핫플 대명사가 되자. 서귀포 모슬포항에 오면 꼭 들를 수밖에 없는 맛과 오션뷰 및 세심한 인테리어는 어디든 포토존이 되게 하자. 4. 고기 먹고 난 뒤에는 더부룩하지 않고 깔끔한 만족을 드리자. 공예 카페도 따로 운영되어 흑돼지를 먹고 난 뒤 마시는 커피와 함께 바다를 산책하고 있노라면 여기가 세상 평온한 천국입니다. 제주 서귀포 가볼 만한 곳, 서귀포 맛집, 제주 모슬포 맛집, 이곳은 야경이 예쁜 제주 흑돼지 맛집, 오광흑돼지입니다. 세신선박기계, 모두아가 인접해 있습니다."
"주소","제주 서귀포시 대정읍 신영로72번길 10"
"주소(도로명)","제주특별자치도 서귀포시 대정읍 신영로72번길 10"
"주소(지번주소)","제주특별자치도 서귀포시 대정읍 하모리 771-1"
"대표번호","0507-1434-6212"
"영업시간","17:00 - 22:00"
"휴무일","매주 금요일"
"취급메뉴","흑돼지 오겹살, 흑돼지 목살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 청결해요, 가성비가 좋아요"
