"관광타입","음식점"
"음식점명","멸치의꿈 제주모슬포점"
"개요","제주에서 나는 신선한 생 멸치, 멜로만 만든 특별한 음식입니다. 3대째 멸치 가업을 이어오는 식당으로, 노하우가 담긴 사장님만의 손맛을 맛보실 수 있습니다. 제주에서만 먹을 수 있는 특별한 음식으로 맛있는 식사로 기억에 남을 수 있도록 준비하고 대접해 드리겠습니다. 멸치의 꿈은 신선한 생 멸치만 사용합니다. 몸집이 크고 살이 가득 찬 제주산 큰 멸치만 사용합니다. 운진항이 인접해 있습니다."
"주소","제주 서귀포시 대정읍 최남단해안로125번길 39"
"주소(도로명)","제주특별자치도 서귀포시 대정읍 최남단해안로125번길 39"
"주소(지번주소)","제주특별자치도 서귀포시 대정읍 하모리 559"
"대표번호","064-794-5800"
"영업시간","10:00 - 21:00"
"휴무일","매주 수요일"
"취급메뉴","큰갈치조림, 멜쌈밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 친절해요, 매장이 청결해요"
