"관광타입","음식점"
"음식점명","라움이즈"
"개요","All day 브런치 오픈 시간 am 8시 30분부터 18시 이용 가능합니다. 토요일 오픈 시간 am 9시 30분부터 18시 이용 가능합니다. 일요일 휴무 입니다. 애프터눈 티 셋트 미리 연락 주시면 더욱 편하게 이용하실 수 있습니다. 서귀포 브런치, 커피, 음료, 와인, 샴페인 및 디저트, 시즌 메뉴를 맛볼 수 있습니다. 루프탑이 예쁜 전망 좋은 카페 입니다. 디자인 소품, 작가 제품 판매. 수입 패브릭 도자기 리빙 카페 입니다. 이브닝, 와인 대관 받습니다. 오설록, 노리매 공원, 재홍각, 이화수 전통육개장이 인접해 있습니다."
"주소","제주 서귀포시 대정읍 중산간서로 2242 3층"
"주소(도로명)","제주특별자치도 서귀포시 대정읍 중산간서로 2242"
"주소(지번주소)","제주특별자치도 서귀포시 대정읍 구억리 222-6"
"대표번호","0507-1365-9622"
"영업시간","08:30/09:30 - 18:00"
"휴무일","매주 일요일"
"취급메뉴","리코타치즈샐러드, 과일크로플"
"주차시설 유무","있음"
"리뷰키워드","뷰가 좋아요, 음식이 맛있어요, 인테리어가 멋져요, 매장이 청결해요, 친절해요"
