"관광타입","음식점"
"음식점명","올랭이와물꾸럭"
"개요","모슬포항에서 멀지 않은 하모리 골목에 자리 잡은 한식당입니다. 오리라는 뜻의 제주도 방언인 올랭이와 문어를 가리키는 물꾸럭에서 따온 가게의 이름에서도 알 수 있듯이 오리와 문어를 주재료로 얼큰하게 조리하는 전골 메뉴인 올랭이와 물꾸럭이 대표 메뉴인데요. 겨울 시즌메뉴 방어코스요리 1인 48000원. 겨울시즌 11월부터 3월에는 방어코스요리 메뉴 한 가지만 가능합니다. 올레한의원, 그린모텔이 인접해 있습니다."
"주소","제주 서귀포시 대정읍 신영로 93-5"
"주소(도로명)","제주특별자치도 서귀포시 대정읍 신영로 93-5"
"주소(지번주소)","제주특별자치도 서귀포시 대정읍 하모리 920-5"
"대표번호","0507-1321-5022"
"영업시간","17:00 - 21:00"
"휴무일","없음"
"취급메뉴","방어코스, 올랭이와 물꾸럭"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 특별한 메뉴가 있어요, 재료가 신선해요, 친절해요, 양이 많아요"
