"관광타입","음식점"
"음식점명","스모크하우스인구억"
"개요","스모크하우스인구억은 대정읍의 마늘창고를 리모델링한 미국 음식점이자 펍입니다. 패티 중심의 묵직한 미국식 수제버거와 직접 만든 햄과 파스트라미가 들어간 샌드위치, 미 남부 바베큐의 대표격인 풀드포크를 이용한 음식을 판매하고 있습니다. 또한, 이태원에서 시작해 크래프트비어 열풍의 시초라고 할 수 있는 맥파이 생맥주를 전문으로 취급하고 있습니다. 구억리 정류장이 인접해 있습니다."
"주소","제주 서귀포시 대정읍 보성구억로 223"
"주소(도로명)","제주특별자치도 서귀포시 대정읍 보성구억로 223"
"주소(지번주소)","제주특별자치도 서귀포시 대정읍 보성리 465-15"
"대표번호","0507-1480-8218"
"영업시간","11:30 - 21:00"
"휴무일","매주 월요일"
"취급메뉴","더블쿼터파운드버거, 풀드포크샌드위치"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 인테리어가 멋져요, 특별한 메뉴가 있어요, 재료가 신선해요, 친절해요"
