"관광타입","음식점"
"음식점명","수애기베이커리"
"개요","수애기는 해 질 녘 노을이 아름답게 지는 모슬포 바닷가에 위치한 베이커리 카페입니다. 날마다 매장에서 직접 구운 신선하고 다양한 빵을 손님들께 선보이고 있으며 시원한 제주 바다를 바라보며 빵과 커피를 함께 즐길 수 있어요. 수애기는 돌고래의 제주방언으로 실제로 모슬포 바닷가에는 돌고래가 출몰하는 핫플레이스입니다. 운이 좋다면 저희 수애기에서 지나가는 돌고래와 만날 수 있을지 몰라요. 밝은 낮과 해 질 녘 그리고 깜깜한 저녁에도 아름다운 경치와 분위기를 잃지 않는 제주 베이커리 카페 수애기에서 편하게 쉬다 가세요. 인디55, 노을이 인접해 있습니다."
"주소","제주 서귀포시 대정읍 동일리 3137"
"주소(지번주소)","제주특별자치도 서귀포시 대정읍 동일리 3137"
"대표번호","064-792-7997"
"영업시간","10:00 - 20:30"
"휴무일","없음"
"취급메뉴","Espresso Double 에스프레소 더블, Americano 아메리카노"
"주차시설 유무","있음"
"리뷰키워드","빵이 맛있어요, 뷰가 좋아요, 커피가 맛있어요, 주차하기 편해요, 인테리어가 멋져요"
