"관광타입","음식점"
"음식점명","산티아고가는길"
"개요","산티아고 가는 길은 산티아고 순례길 800km를 가족과 함께 다녀온 후 까미노를 추억하고 공유하려는 공간입니다. 순례길에서 먹었던 뽈뽀, 문어를 한국인의 입맛에 맞게 덮밥과 파스타로 만들고 제주 흑돼지로 만든 함박스테이크가 맛있는 브런치 카페입니다. 그리고 제주에 거의 없는 싸이폰커피와 직접 손으로 휘핑해서 만든 아인슈페너는 저희 카페의 베스트 메뉴입니다. 의귀리정거장, 의귀농협이 인접해 있습니다."
"주소","제주 서귀포시 남원읍 한신로 197"
"주소(도로명)","제주특별자치도 서귀포시 남원읍 한신로 197"
"주소(지번주소)","제주특별자치도 서귀포시 남원읍 의귀리 1480-1"
"대표번호","0507-1305-6131"
"영업시간","10:00 - 22:00"
"휴무일","매주 일요일"
"취급메뉴","싸이폰커피, 아메리카노"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 인테리어가 멋져요, 특별한 메뉴가 있어요, 주차하기 편해요"
