"관광타입","음식점"
"음식점명","은빌레식당"
"개요","가성비 최고, 맛도 좋고. 정성 가득한 한식을 먹고 싶으신 분들 은빌레식당에 놀러오세요. 항상 친절하고, 정성을 다한 음식으로 맞이할게요. 제주산 돼지고기 수육, 국수 추울 땐 멸치국수, 더울 땐 콩국수나 메밀국수, 단호박죽, 제주산 참조기, 고등어, 가자미, 각재기, 삼치 등, 튀김 혹은 전. 그 외 푸짐한 여러 밑밭찬을 1인 8천원에 드실 수 있어요. 레알 가성비 갑 한식뷔페. 남녀노소 부담없이 즐길 수 있는 은빌레 식당입니다. 동네 주민들도 많이 찾아주셔요. 관광객분들도 가볍게 드시고 싶으신 분들도 많이 찾아주신답니다. 오전11시 30분부터 낮 12시 30분 사이에는 많이 붐비는 편이니, 느긋하게 식사 원하시는 분들은 이 시간대는 피해주세요. 여행객들도 부담되지 않은 가격으로 한 끼 든든하게 즐겨보세요. 제주 금호리조트, 제주샤인빌리조트, 제주소노캄, 코코몽에코파크,  에코랜드, 사려니숲길, 휴애리, 제주남원큰엉, 물영아리, 머채왓숲길, 표선해수욕장주변 골프장과도 가까워 골퍼분들도 즐기러 많이 옵니다. 제주해비치cc, CU, 의귀초등학교 정류장이 인접해 있습니다."
"주소","제주 서귀포시 남원읍 의귀로 120"
"주소(도로명)","제주특별자치도 서귀포시 남원읍 의귀로 120"
"주소(지번주소)","제주특별자치도 서귀포시 남원읍 의귀리 794"
"대표번호","064-764-2221"
"영업시간","08:00 - 15:00"
"휴무일","없음"
"취급메뉴","김밥, 수육"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 가성비가 좋아요, 친절해요, 매장이 청결해요, 재료가 신선해요"
