"관광타입","음식점"
"음식점명","송가네참숯가든"
"개요","안녕하십니까. 저희 송가네참숯가든은 흑돼지 전문점으로 찾아주시는 고객분들께 저희 송가네참숯가든만의 맛을 전해 리고자 노력하고 있습니다. 음식의 맛은 무엇보다도 음식재료의 품질과 음식조리에 있을 것입니다. 저희 송가네참숯가든은 늘 엄선된 음식재료만을 사용하여 고객 여러분께 믿고 신뢰할 수 있는 음식이 될 수 있도록 하고 있으며, 어머니의 손맛과도 같은 정갈한 음식조리로써 고객 여러분께 행복의 맛을 전해 드리려 하고 있습니다. 타 매장과는 다른 저렴한 음식값으로 부담없이 저희 매장에 오실 수 있도록 배려하고 있습니다. 오시는 고객 여러분께 보답하고자 항상 온 힘을 다하는 서비스를 제공하겠습니다. 맛의 진미를 저희 송가네참숯가든에서 느껴보세요. 고객 여러분께 친절한 미소를 잃지 않는 송가네참숯가든이 될 것을 약속 드립니다. 감사합니다. 찬스귤 체험농장, 만능카서비스가 인접해 있습니다."
"주소","제주 서귀포시 남원읍 남위남성로93번길 67 송가네참숯가든"
"주소(도로명)","제주특별자치도 서귀포시 남원읍 남위남성로93번길 67"
"주소(지번주소)","제주특별자치도 서귀포시 남원읍 남원리 1594"
"대표번호","064-764-8181"
"영업시간","10:00 - 22:00"
"휴무일","없음"
"취급메뉴","갈비탕, 냉면"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 매장이 넓어요, 뷰가 좋아요, 재료가 신선해요"
