"관광타입","음식점"
"음식점명","쇠소깍가든소연이네 "
"개요","제주도에서 오곡밥을 한끼 식사를 찾으시는 분들이 항상 만족하고 가시는 쇠소깍가든 소연이네입니다. 저렴한 가격의 오곡 정식과 소곱창 뚝배기탕, 직접 만든 제철 반찬과 제주스러운 성게와 보말로 만든 미역국, 즉석 돼지불고기와 코다리조림과 밑반찬이 함께 나오는 오곡쌈 정식 드시러 오세요. 단체 예약 가능하며 휴무일를 따로 없으나 전화주시고 오시면 더욱 편리하게 이용 가능하십니다. 하례마을입구, 두레빌라트가 인접해 있습니다."
"주소","제주 서귀포시 남원읍 하례로166번길 1 쇠소깍가든소연이네"
"주소(도로명)","제주특별자치도 서귀포시 남원읍 하례로166번길 1"
"주소(지번주소)","제주특별자치도 서귀포시 남원읍 하례리 381"
"대표번호","0507-1369-7769"
"영업시간","10:00 - 22:00"
"휴무일","없음"
"취급메뉴","오곡쌈정식, 보말오곡쌈정식"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 주차하기 편해요, 가성비가 좋아요, 매장이 넓어요"
