"관광타입","음식점"
"음식점명","동모루"
"개요","제주산 흑돼지로 바삭하게 튀긴동모루 흑돼지 돈가스, 자극적이지 않고 깔끔한 맛의동모루 뼈감자탕, 제주 특산품 몰망을 넣어 더욱 특별한 몸뼈감자탕, 제주딱새우와 홍합, 조개, 꽃게, 전복이 들어가 국물이 시원한 전복뚝배기, 더운 여름, 입맛 돌게 하는 고소하고 시원한 동모루 콩국수가 있습니다. 넓은 주차장, 일반 입식테이블과 온돌방 좌식테이블이 있어 누구나 편하게 식사 가능합니다. 아기의자 구비되어 있습니다. 모든 메뉴 포장 가능합니다. 동모루는 귤밭과 함께 있어 겨울철 체험농장을 운영하고 있습니다. 동모루에서 오감으로 제주의 정취를 느끼고 가세요. 모든 문의는 064 764 6998 로 해주세요. 감사합니다. 제주감협모수완이 인접해 있습니다."
"주소","제주 서귀포시 남원읍 중산간동로 6998"
"주소(도로명)","제주특별자치도 서귀포시 남원읍 중산간동로 6998"
"주소(지번주소)","제주특별자치도 서귀포시 남원읍 위미리 4392-1"
"대표번호","0507-1377-6998"
"영업시간","10:00 - 20:00"
"휴무일","매주 일요일"
"취급메뉴","콩국수, 흑돼지 돈가스"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 주차하기 편해요, 가성비가 좋아요, 재료가 신선해요"
