"관광타입","음식점"
"음식점명","지귀도형제횟집"
"개요","활어회 도, 소매 집으로 항상 신선하고 자연산으로 드립니다. 시원한 제주도의 푸른 바다가 눈앞에 펼쳐져 있습니다. 안녕하십니까. 활어회 도, 소매 집으로 항상 신선하고 자연산으로 드립니다. 또 시중가보다 저렴한 가격으로 맘껏 즐기실 수가 있습니다. 주요 메뉴 및 가격, 자연산 활어회, 조림류, 물회, 식사류가 있습니다. 주요 메뉴는 활어회 입니다. 어촌종합관광센타, 지귀도피싱호이 인접해 있습니다."
"주소","제주 서귀포시 남원읍 위미해안로 47"
"주소(도로명)","제주특별자치도 서귀포시 남원읍 위미해안로 47"
"주소(지번주소)","제주특별자치도 서귀포시 남원읍 위미리 2937-2"
"대표번호","064-764-7177"
"영업시간","10:00 - 22:00"
"휴무일","없음"
"취급메뉴","성게전복미역국, 고등어구이"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 가성비가 좋아요, 양이 많아요"
