"관광타입","음식점"
"음식점명","폴개촌"
"개요","제주 남원 흑돼지 맛집입니다. 오픈 시간은 오후 5시부터 오후 10시까지입니다. 마지막 손님 8시 30분까지 받습니다. 재료 소진 시 조기 종료합니다. 예약 가능합니다. 일손 부족으로 빠른 응대가 어렵습니다. 미리 예약 부탁드립니다. 불편하신 분들은 정중히 사양합니다. 가게 옆 2대 주차 가능합니다. 가게 뒤쪽 넓은 주차장 있습니다. 남원전기설비, 펠롱 도채비가 인접해 있습니다."
"주소","제주 서귀포시 남원읍 태위로 947 1층"
"주소(도로명)","제주특별자치도 서귀포시 남원읍 태위로 947"
"주소(지번주소)","제주특별자치도 서귀포시 남원읍 태흥리 531-1"
"대표번호","0507-1403-9253"
"영업시간","17:00-22:00"
"휴무일","매주 일요일"
"취급메뉴","흑오겹살, 흑목살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 매장이 청결해요, 인테리어가 멋져요"
