"관광타입","음식점"
"음식점명","한성식당"
"개요","안녕하세요. 성산 일출봉 바로 앞에 위치한 한성식당입니다. 저희 식당은 제주산 생물 갈치를 사용합니다. 활어회, 갈치조림, 해물전골, 생선구이, 물회 등 다양한 메뉴를 판매하고 있습니다. 직접 담근 자리돔 젓갈은 요청하시면 드셔보시고 구매도 가능합니다. 식당 바로 뒤에 넓은 주차장이 있습니다. 많이 찾아와주세요. 감사합니다. 성산일출봉 청운식당, 우뭇개일번지가 인접해 있습니다."
"주소","제주 서귀포시 성산읍 일출로 287 한성식당"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 일출로 287"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 성산리 202-1"
"대표번호","064-782-4646"
"영업시간","08:00-21:00"
"휴무일","전화문의"
"취급메뉴","갈치조림, 해물전골"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 양이 많아요, 주차하기 편해요"
