"관광타입","음식점"
"음식점명","아놔고"
"개요","대한민국 최초 바닷장어 붕장어회 고등어 회 딱새우 요리 전문점입니다. 붕장어회, 장어탕, 장어구이, 한라산 물회 등 새로운 비법으로 맛을 보여드립니다. 30년의 전문적인 비법으로 살아있는 싱싱한 자연산 장어 고등어 딱새우 요리를 직접 저렴하게 유통하여 판매하고 있습니다. 대한민국 최초 한라산 물회를 상표등록하여 판매하고 있습니다. 제주도 섬 모양의 구운 도자기 그릇으로 물회, 회 덮밥, 전복죽 등 음식을 담아내어 맛깔스럽게 제주도의 향기를 느낄 수 있으며 가게 테라스엔 일출봉을 한눈에 바라볼 수 있는 올레 1길 포토존을 예쁘게 꾸며 놓았습니다. 소중한 추억을 이쁜 사진에 담아 가세요. 눈과 입과 마음까지 호강하고 가세요. 감사합니다. 성산 일출봉, 성산플로우가 인접해 있습니다."
"주소","제주 서귀포시 성산읍 일출로 240 1층"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 일출로 240"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 성산리 399-24"
"대표번호","0507-1376-3123"
"영업시간","11:00-22:00"
"휴무일","격주 일요일"
"취급메뉴","아나고회 제주식 막썰기, 딱새우"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 뷰가 좋아요, 가성비가 좋아요"
