"관광타입","음식점"
"음식점명","광치기해산물촌"
"개요","당신을 웃게 할 건강 정보 스마일 방송에 출연했습니다. 앞으로도 건강하고 몸에 좋은 제주 향토 음식을 제공하기 위해 노력하겠습니다. 20년 전부터 광치기 해산물촌을 운영하면서 맛집으로 소개되었습니다. 제주도의 원조 전복죽 맛집입니다. 해녀의 집을 포함해도 제주도 3대 전복죽 맛집으로 손꼽힙니다. 도민들이 정말 많이 찾아주십니다. 싱싱한 재료만을 씁니다. 식당 옆 텃밭에 야채를 심어 무농약 야채를 사용합니다. 주문과 동시에 음식을 조리합니다. 어머니 손맛입니다. 쌍둥이 돌이 유명합니다. 창밖으로 화려한 전망이 강점입니다. 성산 일출봉과 우도가 한눈에 보입니다. 펜션이나 숙소에서 드실 수 있도록 포장이 가능합니다. 영업시간은 9시부터 22시입니다. 미리 예약하시면 아침식사 가능합니다. 주차 30대 가능합니다. 지정된 휴무가 없습니다. 포장, 예약 가능합니다. 성산흑돼지 복댕이, 제주성산골든튤립호텔이 인접해 있습니다."
"주소","제주 서귀포시 성산읍 일출로 36"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 일출로 36"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 고성리 352-22"
"대표번호","064-782-1750"
"영업시간","09:00-22:00"
"휴무일","없음"
"취급메뉴","갈치조림, 전복죽"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 가성비가 좋아요, 양이 많아요"
