"관광타입","음식점"
"음식점명","고기에오르다"
"개요","제주산 최상의 흑돼지를 숙성하여 강력한 화력의 숯불 꼬치 구이로 목살의 살코기는 최고의 육즙을 즐길 수 있고, 목살의 오겹살 부위는 느끼하지 않고 쫄깃하며 고소한 맛의 흑돼지를 즐길 수 있는 곳입니다. 오리를 좋아하시는 분들은 오리 역시 잡내 하나 없는 숯불 회전 구이로 느끼하지 않게 맛있는 오리를 즐길 수 있습니다. 성산활어센터, 해룡흑도새기가 인접해 있습니다."
"주소","제주 서귀포시 성산읍 한도로 264"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 한도로 264"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 성산리 298-2"
"대표번호","0507-1483-2000"
"영업시간","11:30-22:50"
"휴무일","전화문의"
"취급메뉴","흑돼지 숯불회전구이, 오리 숯불회전구이 한마리"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 특별한 메뉴가 있어요, 매장이 청결해요"
