"관광타입","음식점"
"음식점명","성산 소희네뚝배기식당 돌문어볶음"
"개요","소희네뚝배기식당은 해녀가 직접 바다에서 잡아온 싱싱한 제주산 해산물을 바탕으로 정성스럽게 음식을 제공합니다. 저희 최고의 인기 메뉴는 돌문어 볶음입니다. 불 맛이 살아있는 돌문어 볶음은 특제소스로 맛을 내어 쫄깃한 식감이 일품입니다. 소면을 양념에 잘 비벼드시면 맛있습니다. 소희네 세트를 시키면 돌문어 볶음, 한치 물회, 고등어구이, 성게미역국을 한 번에 드실 수 있습니다. 갈치조림과 전복 해물뚝배기, 고등어구이, 전복 해물전골 등 다양한 메뉴도 같이 제공하오니 소희네뚝배기식당에서 제주의 맛과 정을 느껴보세요. 성산고등학교, 복자씨연탄구이가 인접해 있습니다."
"주소","제주 서귀포시 성산읍 해맞이해안로 2752"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 해맞이해안로 2752"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 오조리 369-1"
"대표번호","0507-1339-8256"
"영업시간","09:00-21:00"
"휴무일","둘째, 넷째 수요일"
"취급메뉴","돌문어볶음, 전복해물뚝배기"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 양이 많아요, 가성비가 좋아요"
