"관광타입","음식점"
"음식점명","알리바이룸"
"개요","안녕하세요. 알리바이룸입니다. 카카오택시가 잘 안 잡히시면 동성 콜택시 0647828200, 성산 콜택시 0647843030 전화 주셔서 알리바이룸 간다고 하시면 빠르게 배차 가능합니다. 알리바이는 생맥주, 세계맥주, 칵테일, 싱글 몰트 등 다양한 술과 다트 게임, 보드게임, 사커 게임을 무료로 즐길 수 있습니다. 지에스25 성산신양점, 봄날제주, 일출봉도식후경이 인접해 있습니다."
"주소","제주 서귀포시 성산읍 섭지코지로26번길 6"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 섭지코지로26번길 6"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 고성리 531"
"대표번호","010-3982-0810"
"영업시간","19:00-02:00"
"휴무일","없음"
"취급메뉴","레드락, 데킬라 스트레이트"
"주차시설 유무","있음"
"리뷰키워드","술이 다양해요, 친절해요, 인테리어가 멋져요, 혼술하기 좋아요, 음악이 좋아요"
