"관광타입","음식점"
"음식점명","코코마마 성산점"
"개요","성산일출봉 해안가 바로 앞에 위치해 있고 하와이 풍 인테리어와 다양한 해산물을 같이 즐길 수 있습니다. 캐나다에서 직수입 해서 아주 신선하고 저렴하게 고객에게 판매하고 있어서 판매량은 제주도 1위라고 자부합니다. 그리고 계절마다 특색 있는 음료를 판매하며 다양한 이벤트를 많이 진행하고 있으니 소식을 읽어보세요. 많은 선물이 준비되어 있습니다. 네이버 예약을 통해 보다 편리하게 이용도 가능하시오니 많은 이용과 사랑 부탁드립니다. 즐거운 제주여행 되십시오. 통발, 수마포국수가 인접해 있습니다."
"주소","제주 서귀포시 성산읍 일출로 258-11"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 일출로 258-11"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 성산리 140-8"
"대표번호","064-782-5569"
"영업시간","10:00-20:30"
"휴무일","매주 목요일"
"취급메뉴","통 파인애플쥬스, 파인애플볶음밥"
"주차시설 유무","있음"
"리뷰키워드","뷰가 좋아요, 음식이 맛있어요, 특별한 메뉴가 있어요, 친절해요, 인테리어가 멋져요"
