"관광타입","음식점"
"음식점명","전복마시문어마시 성산본점"
"개요","메뉴는 제주전복구이, 제주 돌문어 숙회, 제주 전복 회, 제주 전복 돌솥밥, 제주 전복죽, 제주 전복 물회, 제주 돌문어 볶음, 제주 군소 무침으로 구성되어 있습니다. 제주도에서 문어 전복 도소매를 하고 있어 최상의 재료를 준비하여 고객님들께 제공하고 있습니다. 제주 최고의 바다 뷰를 바라보며 음식을 즐길 수 있습니다. 성산 최고의 뷰 맛집입니다. 문어 감자 전은 감자를 직접 갈아 전을 부칩니다. 고등어구이는 산지에서 잡은 고등어구이입니다. 단언컨대 전복 마시 문어 마시는 대한민국 최고의 재료라 자부합니다. 문어는 산지에서 직접 잡아 올려 제공합니다. 전복은 주문 시 바로 손질하여 제공합니다. 모든 반찬은 손수 만들며 내 가족이 먹는다는 생각으로 정성껏 만들었습니다. 온평리포구, 돌개바람, 온평밤이 인접해 있습니다."
"주소","제주 서귀포시 성산읍 환해장성로 489"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 환해장성로 489"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 온평리 1116-8"
"대표번호","0507-1391-0789"
"영업시간","10:00-21:00"
"휴무일","전화문의"
"취급메뉴","제주 전복구이, 제주 돌문어 숙회"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 청결해요, 가성비가 좋아요"
