"관광타입","음식점"
"음식점명","성산 갈치조림 순덕이네"
"개요","안녕하세요. 노래하면서 장구 치는 것을 즐기는 제주 아주망 순덕이우다. 저희 순덕이네는 해녀이신 시어머니가 직접 잡아오신 톳, 문어, 해산물들로 제주를 가득 담은 음식을 손님들께 제공하고 있습니다. 좋은 식재료만을 엄선합니다. 그래서 손님들은 진짜 제주를 느낄 수 있는 음식을 먹고 간다고 말씀들 해주신 답니다. 그리고 돌문어 볶음의 원조는 순덕이네 뿐이니 상호가 비슷한 유사 매장과 헷갈리지 마세요. 돌문어 볶음의 첫 시작은 제주 성산 순덕이네입니다. 원조의 깊은 맛은 누구도 흉내 낼 수 없습니다. 돌문어 볶음은 소면 슥슥 비벼 야들야들한 문어랑 같이 입에 넣으시면 반찬 안 부럽습니다. 가게 사정에 따라 휴무가 있을 수 있으니 혹시라도 헛걸음하시지 않게 전화 주시고 방문 부탁드리며 언제나 마음과 제주를 담은 음식으로 만족을 드릴 수 있게 저희 시어머니의 좋은 식재료에 보답할 수 있게 노력하겠습니다. 성산에 오시면 꼭 들러주세요. 라온스테이, 온담 제주가 인접해 있습니다."
"주소","제주 서귀포시 성산읍 온평서로 48"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 온평서로 48"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 온평리 1664"
"대표번호","0507-1317-0073"
"영업시간","09:30-18:00"
"휴무일","전화문의"
"취급메뉴","원조 돌문어볶음, 갈치조림"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 친절해요, 주차하기 편해요"
