"관광타입","음식점"
"음식점명","팔도식당갈치조림 섭지코지점"
"개요","제주산 두툼한 갈치조림으로 든든하고 맛있는 한 끼 하실 수 있습니다. 다양한 밑반찬 9가지를 신선하고 푸짐하게 드리고 있습니다. 테이블은 좌식, 입식 테이블로 준비되어 있습니다. 전 메뉴 포장 가능합니다. 입구에 식사 마치고 후식으로 먹을 수 있게 노지 귤이 비치되어 있습니다. 아쿠아플라넷 제주, 의성약방, 푸른하늘 은하수 게스트하우스가 인접해 있습니다."
"주소","제주 서귀포시 성산읍 섭지코지로26번길 15"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 섭지코지로26번길 15"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 고성리 538-2"
"대표번호","064-784-6288"
"영업시간","08:00-20:00"
"휴무일","없음"
"취급메뉴","갈치조림, 고등어구이"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 가성비가 좋아요, 재료가 신선해요, 양이 많아요"
