"관광타입","음식점"
"음식점명","흑돼지박스 성산점"
"개요","주문 후 즉석에서 조리를 하여 더욱 맛있습니다. 도시락 포장 후 섭지해변, 성산일출봉, 광치기 해변 등등 주요 관광지가 근처에 있어 어디 가서 먹어도 좋습니다. 근처 해변가에서 피크닉 기분을 내며 먹기에도 좋습니다. 깔끔한 포장으로 자동차 안이나 숙소 애들 식사 대용으로도 좋습니다. 섭지코지화덕피자, 망고레이 섭지코지점이 인접해 있습니다."
"주소","제주 서귀포시 성산읍 신양로 100 "
"주소(도로명)","제주특별자치도 서귀포시 성산읍 신양로 100"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 고성리 203-5"
"대표번호","0507-1372-0519"
"영업시간","11:00-19:00"
"휴무일","매주 화요일"
"취급메뉴","흑돼지, 전복버터구이"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 특별한 메뉴가 있어요, 가성비가 좋아요,  재료가 신선해요, 친절해요"
