"관광타입","음식점"
"음식점명","성산달래식당"
"개요","성산달래식당은 현무암을 한 개 한 개 쌓아 올려 지은 제주 전통가옥 건물입니다. 한적한 성산 시골마을에 위치해 있어 제주를 제대로 즐길 수 있습니다. 당일 제주바다에서 잡은 신선한 생선으로 요리합니다. 통갈치 구이 3인상 주문 시 당일 잡은 신선한 갈치구이 2마리가 한상에 나옵니다. 손님들이 가성비 좋은 메뉴로 통갈치 구이를 많이 찾습니다. 생선 모둠 구이도 가성비가 좋으며, 기본 5마리의 신선한 제주 생선이 나옵니다. 갈치, 고등어, 옥돔, 조기, 제철 생선 총 5마리가 올라오며 생물만 사용합니다. 당일 잡히는 생선에 따라 모둠구이 구성은 달라질 수 있습니다. 순살 갈치조림은 당일 잡은 신선한 갈치를 회 떠서 매콤한 양념에 요리합니다. 조미료는 일절 사용하지 않으며, 100일간 숙성한 효소로 단맛과 매운맛을 냅니다. 조미료를 사용하지 않아서 손님들이 식사하시고 속이 편하다고 말씀하십니다. 성게미역국, 옥돔 미역국, 갈치 국, 돌문어 덮밥, 갈치회 덮밥, 전복뚝배기 등 다양한 향토음식도 준비돼있습니다. 당일 잡은 신선한 생물로 요리합니다. 제주산 제철 생선과 제주에서 난 재료로 한상 차림 합니다. 제주산 돌미역, 톳 나물, 고사리 등 직접 공수한 제주 나물로 반찬을 만들며, 가짓수는 6가지로 다양하게 만듭니다. 달래라는 이름은 이른 봄에 산에서 쉽게 볼 수 있는 약초입니다. 수산2리공원, 대선농장이 인접해 있습니다."
"주소","제주 서귀포시 성산읍 금백조로 34-19"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 금백조로 34-19"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 수산리 2014"
"대표번호","0507-1338-4757"
"영업시간","09:00-21:00"
"휴무일","전화문의"
"취급메뉴","통갈치구이, 순살갈치조림"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 양이 많아요, 가성비가 좋아요"
