"관광타입","음식점"
"음식점명","랍씨네"
"개요","성산일출봉, 섭지코지, 휘닉스아일랜드 인근 신양섭지코지 해변에 위치한 활 랍스터, 킹크랩 전문점입니다. 매장 내부에서 야자수와 해변이 보이기 때문에 이국적인 분위기를 느낄 수 있으며, 대표 메뉴로는 바스켓에 랍스터나 킹크랩 이외에 조개, 새우 등 각종 계절 해산물을 함께 부어먹는 킹크랩, 랍스터 세트가 있습니다. 아름다운 오션뷰와 함께 이색적인 재미를 느낄 수 있는 곳입니다. 해돋이민박, 임프로, 만감교차 성산이 인접해 있습니다."
"주소","제주 서귀포시 성산읍 신양로122번길 57"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 신양로122번길 57"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 고성리 559-17"
"대표번호","0507-1410-1660"
"영업시간","11:30-21:30"
"휴무일","전화문의"
"취급메뉴","활랍스터, 킹크랩"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 뷰가 좋아요, 재료가 신선해요, 특별한 메뉴가 있어요, 친절해요"
