"관광타입","음식점"
"음식점명","정체불명"
"개요","정체불명은 100퍼센트 예약제입니다. 40분마다 한 팀씩 예약을 받습니다. 취소할 시 미리 해주세요. 가급적 직전에 취소하시지 않으셨으면 좋겠습니다. 그리고 연락 없이 무단으로 예약 취소 시 차후 예약 불가합니다. 테이블이 3개입니다. 2개는 방 사이즈가 크고 테이블도 커서 3명, 4명 손님을 받습니다. 6인까지 가능합니다. 작은 테이블은 버거 손님께 안내해 드립니다. 예약 시 가급적 메뉴를 기재해 주시면 메뉴에 맞게 방을 안내해 드리겠습니다. 8세 이상 입장 가능하며 반려견 출입은 켄넬, 케이지 없이는 안됩니다. 죄송합니다. 혼자 하는 가게라 전화받기 어려울 때가 많습니다. 문자로 인원수와 시간대를 알려주시면 연락드리겠습니다. 불편한 게 많아서 죄송합니다. 카페벨에포크, 사라팜, 삼달농산물유통법인이 인접해 있습니다."
"주소","제주 서귀포시 성산읍 삼달로163번길 34"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 삼달로163번길 34"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 삼달리 453-3"
"대표번호","0507-1413-1099"
"영업시간","13:00-22:00"
"휴무일","매주 화요일, 수요일"
"취급메뉴","비프파스트라미피자, 고벅"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 친절해요, 뷰가 좋아요"
