"관광타입","음식점"
"음식점명","금돗 성산흑돼지"
"개요","저희는 제주 벼 껍질인 왕겨로 훈연하여 최상의 고기 맛을 느낄 수 있는 참숯 직화구이 전문 제주 성산 흑돼지 맛집 금돗입니다. 제주의 명소인 제주 성산일출봉 맛집이며 특수 주문 제작 불판을 사용하여 흑돼지의 육즙과 각종 영양소를 보존하면서 드실 수 있는 제주 성산 맛집입니다. 어디에서도 경험할 수 없는 최상급 제주 흑돼지 맛집에서 최고의 맛을 경험해 보십시오. 고기는 저희가 최상의 맛으로 구워드리도록 하겠습니다. 참숯으로 보리 볏짚과 벼 껍질을 훈연한 최상급 흑돼지의 담백함과 풍부한 육즙을 느끼러 오세요. 성산일출봉, 소심한이층, 가마솥뼈다귀해장국이 인접해 있습니다."
"주소","제주 서귀포시 성산읍 성산등용로 17 금돗 성산흑돼지"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 성산등용로 17"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 성산리 234-16"
"대표번호","0507-1402-9798"
"영업시간","11:00-23:00"
"휴무일","없음"
"취급메뉴","금돗 흑돼지, 흑돼지 김치찌개"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 청결해요, 양이 많아요"
