"관광타입","음식점"
"음식점명","제주유"
"개요","안녕하세요. 성산읍 해물라면 맛집 제주유입니다. 싱싱한 해산물을 각종 야채와 함께 불향을 입혀 얼큰한 향을 자랑하는 해물라면인 야한 라면, 쫄깃하고 담백한 돔베수육과 칼칼하며 깊은 맛이 일품인 돔베 라면을 판매하고 있습니다. 저희 라면은 야채를 볶아 불향을 내는 만큼 공기가 맵습니다. 7세 이하 유아는 동반이 불가능합니다. 라면은 1인 1메뉴 주문을 원칙으로 하고 있습니다. 어린이는 2인 1메뉴입니다. 매장 옆 덕산식당 앞쪽은 주차를 자제해 주세요. 제주도 성산읍 성산리에 위치한 제주유에서 정성스럽고 맛있게 한 끼 식사 준비하겠습니다. 탐라흑돼지, 성산은하식당이 인접해 있습니다."
"주소","제주 서귀포시 성산읍 성산중앙로 60 1층 제주유"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 성산중앙로 60"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 성산리 218-3"
"대표번호","0507-1453-7036"
"영업시간","11:00-21:00"
"휴무일","매주 금요일"
"취급메뉴","땅땅면, 야한라면"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 양이 많아요, 재료가 신선해요, 특별한 메뉴가 있어요"
