"관광타입","음식점"
"음식점명","성산일출봉손칼국수"
"개요","바다의 불로초 톳입니다. 밭에 소고기 콩을 배합하여 자가 숙성 제면하는 톳 칼국수 면입니다. 간수를 뺀 신한 천일염으로 매일 담는 배추 겉절이와 깍두기를 제공합니다. 제주 앞 바다 성산리 온평리 신산리에서 해녀분들이 잡은 수두리 보말을 사용하여 건강한 먹거리 제공하고자 노력하고 있습니다. 성산일출봉, 동뜬식당, 일출봉거북식당이 인접해 있습니다."
"주소","제주 서귀포시 성산읍 일출로 273 1층"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 일출로 273"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 성산리 157-1"
"대표번호","0507-1378-6255"
"영업시간","07:00-19:00"
"휴무일","매주 목요일"
"취급메뉴","보말전복칼국수, 문어해물칼국수"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 넓어요, 양이 많아요"
