"관광타입","음식점"
"음식점명","성산일출봉 청운식당"
"개요","1994년부터 30년 가까이한 자리에서 운영해온 제주 향토음식점입니다. 매일 새벽 성산 앞바다에서 잡은 신선한 갈치로 요리합니다. 통갈치조림에 들어가는 갈치는 신선한 생물 갈치이며, 제주산 돌문어, 전복, 뿔소라 모두 생물 사용합니다. 멀리서 제주에 여행 오셨는데 드시는 한 끼 신선하고 좋은 재료로 요리해 대접하겠습니다. 가게 앞 주차장이 찼을 때는 성산일출봉 공영주차장에 주차하시고 30초만 걸어서 내려와주세요. 공영주차장은 무료로 개방돼있습니다. 1인 식사도 가능하오니 편하게 들러주세요. 토막 갈치조림, 통갈치 구이, 고등어구이, 갈치회 등 다양한 메뉴 있으니 오셔서 드셔보세요. 행복한 제주 여행 되실 수 있도록 최선을 다하겠습니다. 성산일출봉, 한성식당, 해녀짬뽕이 인접해 있습니다."
"주소","제주 서귀포시 성산읍 일출로 285 청운식당"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 일출로 285"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 성산리 192-2"
"대표번호","0507-1347-3912"
"영업시간","09:00-20:40"
"휴무일","전화문의"
"취급메뉴","갈치조림, 전복뚝배기"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 넓어요, 특별한 메뉴가 있어요"
