"관광타입","음식점"
"음식점명","이어돈 성산 그 두번째이야기"
"개요","2021 제주흑슐랭가이드 흑돼지 부분 선정되었습니다. 고객 웨이팅 리뷰 평점 우수 업체입니다. 트렌드를 이끄는 국내 최초 감귤 가루 흑돼지가 있습니다. 환상의 맛 이어돈입니다. 감귤 시즈닝을 뿌린 흑돼지의 환상적인 맛을 함덕에 이어 성산에서 만날 수 있습니다. 6월 7일 오픈했습니다. 브리즈 베이 호텔, 호텔아로하, 지에스25 성산아로하점이 인접해 있습니다."
"주소","제주 서귀포시 성산읍 성산등용로 44"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 성산등용로 44"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 성산리 382-10"
"대표번호","0507-1305-2270"
"영업시간","12:00-22:00"
"휴무일","둘째, 넷째 목요일"
"취급메뉴","흑돼지근고기, 제주 해물 뚝배기"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 매장이 청결해요, 인테리어가 멋져요"
