"관광타입","음식점"
"음식점명","성산 해녀짬뽕"
"개요","안녕하세요. 성산일출봉 입구에 위치한 성산 해녀짬뽕입니다. 저희 해녀짬뽕에서는 오랜 시간 정성껏 끓인 육수, 방부제를 넣지 않고 매일매일 직접 반죽하는 면, 매일 새벽 깨끗이 준비하는 해산물 등 신선하고 질 좋은 재료를 이용하여 손님 여러분께 맛있는 식사를 제공하고자 노력하고 있습니다. 저희 해녀짬뽕을 찾아주셔서 항상 감사드립니다. 추운 날씨에도, 더운 날씨에도 불평 없이 기다려주시는 손님 여러분께 더욱 더 좋은 음식과 서비스로 보답할 수 있도록 최선을 다하는 해녀짬뽕이 되겠습니다. 감사합니다. 성산일출봉, 우뭇개일번지, 성산일출봉 청운식당이 인접해 있습니다."
"주소","제주 서귀포시 성산읍 일출로 286 1층 해녀짬뽕"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 일출로 286"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 성산리 109-2"
"대표번호","0507-1319-5419"
"영업시간","10:00-19:00"
"휴무일","매주 목요일"
"취급메뉴","해녀짬뽕, 해녀짜장"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 특별한 메뉴가 있어요, 친절해요, 재료가 신선해요, 양이 많아요"
