"관광타입","음식점"
"음식점명","성산 장인의집"
"개요","장인의집은 전라도 장흥에서 오래전에 시작하여, 제주도에 내려와 개업한 전통 가마솥 수제만두전골 가게입니다. 모든 음식을 수제로 만들고, 제주의 재료를 이용한 제주도 전통 한식의 일인자가 되기 위해 노력하는 중입니다. 할머니의 전통을 이어받은 가족들이 운영하는 장인의집은 현재 많은 손님들의 성원에 힘입어 제주도에만 4개의 매장을 운영 중입니다. 장인의집 전통 손 만두는 HACCP 안전 관리인증을 받았습니다. 만두는 위탁하지 않고 직접 피와 속을 만들어 만두를 제조합니다. 만두피와 생면은 같은 재료, 다른 배합 비율로 만들어 색은 같을 수 있으나, 배합 비율이 다르기 때문에 엄연히 다르다고 할 수 있습니다. 테이블링 앱을 다운로드 후 원격 줄 서기를 이용하시면 더욱 편리하게 이용하실 수 있습니다. 성산일출봉, 시흥카센타, 씨유 성산시흥점이 인접해 있습니다."
"주소","제주 서귀포시 성산읍 일주동로 3968"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 일주동로 3968"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 시흥리 718-1"
"대표번호","0507-1471-7835"
"영업시간","10:00-22:00"
"휴무일","없음"
"취급메뉴","수제 4색 만두전골, 제주 흑돼지만두"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 양이 많아요, 재료가 신선해요, 특별한 메뉴가 있어요"
