"관광타입","음식점"
"음식점명","성산일출봉 어멍횟집"
"개요","성산일출봉 맛집으로 유명한 횟집 전문점 어멍횟집입니다. 성산일출봉, 광치기 해변,  섭지코지, 아쿠아 플라넷 등이 5분 거리에 있는 제주도 맛집입니다. 고등어회, 딱새우 회, 갈치회, 광어회, 방어 회, 다금바리, 참돔 등 다양한 어종이 있습니다. 성산일출봉 근처에서 가장 푸짐한 기본 찬을 드리는 맛집입니다. 한번 다녀가면 다시 찾는 성산일출봉 맛집, 섭지코지, 용눈이오름, 광치기 해변, 우도 등 유명 관광지가 가까운 곳에 위치한 제주 횟집입니다. 다금바리, 돌돔, 구문쟁이, 솔치, 벵에돔 등 성산항에서 직접 공수해온 싱싱한 활어회와 제주에서만 제대로 맛볼 수 있는 딱새우, 고등어회, 갈치회를 맛볼 수 있습니다. 계절에 맞는 다양한 곁들이 찬까지 준비되어 있습니다. 가족, 연인 등 남녀노소 누구나 만족할 수 있는 어멍횟집이 되도록 노력하겠습니다. 제주성산골든튤립호텔, 진챠이객잔이 인접해 있습니다."
"주소","제주 서귀포시 성산읍 일출로 29 어멍횟집"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 일출로 29"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 고성리 330-1"
"대표번호","0507-1418-1177"
"영업시간","13:00-21:50"
"휴무일","전화문의"
"취급메뉴","고등어회, 갈치회"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 넓어요, 가성비가 좋아요"
