"관광타입","음식점"
"음식점명","통발"
"개요","제주 통발은 1인 중심으로 운영되는 캐주얼 요리 주점으로, 어머니에게 배운 일식을 바탕으로 트렌디하고 감각적인 퓨전 일식을 맛볼 수 있으며 더불어 성산 일출봉과 수마포구가 한눈에 보이는 경관으로 눈과 입이 모두 즐거운 공간으로 거듭나고 있습니다. 저희 매장을 찾아주시는 분들의 귀한 발걸음이 헛되지 않도록 요리 하나하나 진심을 다해 내어드릴 수 있도록 끊임없이 연구하며 성장할 수 있는 통발이 되고자 노력하겠습니다. 점심 메뉴 테스트 중으로, 금방 찾아뵙겠습니다. 추후 영업 관련 공지사항, 이벤트, 휴무일, 런치 시간은 인스타그램으로 확인해 주세요. 코코마마, 수마포국수, 수마가 인접해 있습니다."
"주소","제주 서귀포시 성산읍 일출로 258-15 2층"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 일출로 258-15"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 성산리 140-4"
"대표번호","0507-1382-8723"
"영업시간","17:00-23:00"
"휴무일","전화문의"
"취급메뉴","모둠사시미, 딱새우회"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 특별한 메뉴가 있어요, 뷰가 좋아요, 혼술하기 좋아요"
