"관광타입","음식점"
"음식점명","해송갈치 제주성산일출봉점"
"개요","새롭게 단장한 성산일출봉 해송 갈치 전문점입니다. 우리 가게는 성산일출봉 인근 지역에서 저렴하면서도 맛있게 갈치 요리를 즐길 수 있습니다. 갈치조림과 함께 성게미역국과 전복죽 그리고 맛있는 뚝배기 요리까지 있습니다. 아침 일찍부터 제주 특산 요리를 맛있게 즐기실 수 있습니다. 제주도 현지인 모두가 인정한 맛집이니 많이 찾아주시기 바랍니다. 또한 정부 방역 지침에 맞게 소독과 거리 두기를 유지하고 있습니다. 소쿠리, 카페더모해, 일출봉거북식당이 인접해 있습니다."
"주소","제주 서귀포시 성산읍 일출로 270-2"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 일출로 270-2"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 성산리 136-7"
"대표번호","064-783-4517"
"영업시간","09:00-21:00"
"휴무일","매주 목요일"
"취급메뉴","통갈치조림, 통갈치구이"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 친절해요, 특별한 메뉴가 있어요"
