"관광타입","음식점"
"음식점명","성산봄죽칼국수 성산점"
"개요","제주도 성산일출봉 근처의 아침식사 가능한 보말 죽, 칼국수 전문점입니다. 저희 성산봄죽칼국수는 특허받은 감귤 제면을 손수 반죽하여 직접 뽑아낸 수제 제면만을 사용합니다. 성산일출봉, 우도, 지미봉이 한눈에 보이는 제주도 바다 뷰 맛집입니다. 보말은 바다 고둥의 제주어입니다. 미네랄이 풍부하여 간 기능 보호 및 숙취해소나 자양강장에 좋고, 소고기나 장어보다 많이 함유되어 있는 아르기닌, 트립토판이 자율 신경계를 안정 시켜 우울증 방지 효과에도 좋습니다. 특허받은 감귤 제면은 쫄깃한 식감이 특징이며, 식사 후 속이 더부룩하지 않습니다. 집으로 돌아가면 생각나는 토속음식 1위입니다. 스누피 가든, 빛의 벙커, 블루 보틀, 섭지코지, 용눈이오름, 광치기 해변, 우도 등 유명한 관광지가 가까운 곳에 위치한 아침식사로 좋은 올레길 1코스 맛집입니다. 맛과 뷰, 로봇 서빙의 재미를 가족, 연인과 추억으로 남기고 싶다면 제주 맛집 성산봄죽칼국수로 오세요. JTBC 드라마 런온 촬영지입니다. 확 트인 전망에 음식 맛도 일품입니다. 일석이조 제주 여행 코스에 연인 및 부모님 모시고 오시기 좋은 식당입니다. 환상적인 포토존에서 추억을 남기세요. 반려동물 동반 불가합니다. 양해 부탁드립니다. 성산일출봉, 성산고등학교가 인접해 있습니다."
"주소","제주 서귀포시 성산읍 해맞이해안로 2725"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 해맞이해안로 2725"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 오조리 391"
"대표번호","0507-1337-7075"
"영업시간","07:00-20:00"
"휴무일","매주 일요일"
"취급메뉴","보말칼국수, 보말죽"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 뷰가 좋아요, 친절해요, 매장이 청결해요, 재료가 신선해요"
