"관광타입","음식점"
"음식점명","해녀김밥 본점"
"개요","제주도 속 몰디브, 함덕 바다 바로 앞에서 제주산 청정 재료를 이용해 정성스럽게 만든 해녀 김밥, 전복 해물라면, 오징어튀김 그리고 성게미역국으로 맛있는 한 끼 하세요. 1년 365일 언제나 맛있는 해녀 김밥, 딱새우 김밥, 오징어튀김 그리고 전복 해물라면을 함덕 바다와 함께 만끽하세요. 오션그랜드호텔, 유탑유블레스호텔 제주, 비치스토리호텔이 인접해 있습니다."
"주소","제주 제주시 조천읍 조함해안로 490 오션그랜드 호텔 1층"
"주소(도로명)","제주특별자치도 제주시 조천읍 조함해안로 490"
"주소(지번주소)","제주특별자치도 제주시 조천읍 함덕리 1252-55"
"대표번호","0507-1342-3005"
"영업시간","09:00-18:00"
"휴무일","매주 목요일"
"취급메뉴","해녀김밥, 전복해물라면"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 특별한 메뉴가 있어요, 뷰가 좋아요, 혼밥하기 좋아요, 재료가 신선해요"
