"관광타입","음식점"
"음식점명","어박사 함덕점"
"개요","제주에서 꼭 먹어야 한다는 1미터 통갈치조림입니다. 한림수협에서 당일 직구매한 생물 은갈치만 취급하기에 가장 싱싱한 생물 은갈치를 맛볼 수 있는 곳, 어박사 함덕점입니다. 얼큰 칼칼한 국물에 1미터 갈치가 통으로 들어있습니다. 전복, 딱새우, 돌문어까지 여러 식당 다닐 필요 없이 어박사에서 모두 먹을 수 있는 통갈치조림과 제주 최초로 특제 마약 소스를 부은 어박사표 통갈치 양념구이까지 있습니다. 소금구이와는 달리 달짝지근한 어박사표 특제소스로 아이들의 입맛까지 사로잡았습니다. 어박사를 찾아와주시는 고객님들의 성원에 힘입어 함덕점에도 오픈하였습니다. 특별한 점이 많은 어박사 함덕점에서도 최상의 재료와 퀄리티로 정성을 다해 모시겠습니다. 함덕해수욕장, WIND, 제주필름이 인접해 있습니다."
"주소","제주 제주시 조천읍 평사길 7 2층 어박사"
"주소(도로명)","제주특별자치도 제주시 조천읍 평사길 7"
"주소(지번주소)","제주특별자치도 제주시 조천읍 함덕리 225-3"
"대표번호","064-782-2102"
"영업시간","11:00-21:30"
"휴무일","매주 일요일"
"취급메뉴","통갈치조림, 통갈치양념구이"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 뷰가 좋아요, 재료가 신선해요, 양이 많아요"
