"관광타입","음식점"
"음식점명","안녕제주"
"개요","브레이크 타임은 오후 4시부터 6시까지입니다. 재료 소진 시 조기 마감합니다. 안녕제주는 한 번에 제주도 음식을 5가지 이상을 먹을 수 있는 곳입니다. 전복 비빔밥, 뿔소라 국수, 성게미역국, 흑돼지 떡갈비, 우도 땅콩 아이스크림을 만 오천 원에 드실 수 있습니다. 다녀가신 분들 모두 만족해하시는 함덕 맛집입니다. 혼자 와도 좋고 둘이 와도 좋고 여럿이 와도 좋은 안녕제주 혼밥집입니다. 아이들을 위한 수제 흑돼지 떡갈비 한상, 주먹밥, 미역국이 있습니다. 가게 바로 뒤에 넓은 주차장이 있으니 편히 주차하시면 됩니다. 소노벨 제주, 함덕해수욕장, 곱들락이 인접해 있습니다."
"주소","제주 제주시 조천읍 함덕18길 19"
"주소(도로명)","제주특별자치도 제주시 조천읍 함덕18길 19"
"주소(지번주소)","제주특별자치도 제주시 조천읍 함덕리 951-1"
"대표번호","064-784-2467"
"영업시간","11:00-21:00"
"휴무일","매주 금요일"
"취급메뉴","흑돼지철판두루치기, 어린이흑돼지함박스테이크한상"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 혼밥하기 좋아요, 특별한 메뉴가 있어요"
