"관광타입","음식점"
"음식점명","저팔계깡통연탄구이 함덕흑돼지"
"개요","최상급 제주 흑돼지가 인기인 고기 전문점입니다. 흑돼지 메뉴는 생오겹살, 생목살, 생갈비로 이루어집니다. 연탄불 위에서 구워져 기름기가 쫙 빠진 목살과 오겹살의 속은 육즙이 살아있고 겉은 바삭하니 술안주로 더할 나위 없습니다. 제주도 현지인들이 찾는 맛집으로 가장 싱싱한 고기로 손님들께 대접합니다. 좌석은 40석이 있습니다. 제주만두김밥, 함덕흑돼지연탄구이가 인접해 있습니다."
"주소","제주 제주시 조천읍 신북로 531"
"주소(도로명)","제주특별자치도 제주시 조천읍 신북로 531"
"주소(지번주소)","제주특별자치도 제주시 조천읍 함덕리 1271"
"대표번호","064-783-1950"
"영업시간","16:00-23:00"
"휴무일","매주 수요일"
"취급메뉴","흑돼지 생오겹살, 흑돼지 생목살"
"주차시설 유무","없음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 가성비가 좋아요, 매장이 청결해요"
