"관광타입","음식점"
"음식점명","성미가든"
"개요","토종닭 백숙 전문점으로, 백숙 전에 나오는 닭 샤부샤부로 유명합니다. 닭을 푹 고아 만든 국물에 얇게 저민 닭 가슴살을 저어 익혀서 소스에 찍어 먹으면 완성입니다. 샤부샤부에 들어가는 야채는 리필이 가능합니다. 샤부샤부를 다 먹으면, 메인 요리인 닭백숙이 나오는데 닭살이 매우 쫄깃합니다. 마지막으로는 진한 맛의 녹두닭죽이 제공됩니다. 카페 다락, 손맛촌, 오름가든이 인접해 있습니다."
"주소","제주 제주시 조천읍 교래1길 2"
"주소(도로명)","제주특별자치도 제주시 조천읍 교래1길 2"
"주소(지번주소)","제주특별자치도 제주시 조천읍 교래리 532"
"대표번호","064-783-7092"
"영업시간","11:00-20:00"
"휴무일","둘째, 넷째 목요일"
"취급메뉴","샤브샤브, 닭도리탕"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요,  특별한 메뉴가 있어요, 재료가 신선해요, 매장이 넓어요, 친절해요"
