"관광타입","음식점"
"음식점명","윤가네흑돼지대패삼겹살 제주함덕흑돼지"
"개요","함덕 흑돼지 대패삼겹살의 원조 윤가네 흑돼지 대패삼겹살입니다. 저희는 인증받은 100퍼센트 제주산 돼지고기, 흑돼지만 제공합니다. 흑돼지 대패삼겹살, 제주돼지 대패삼겹살 모두 맛볼 수 있습니다. 라마다호텔 앞에서 소노벨리조트 앞으로 가게를 이전하여 더욱더 깔끔한 인테리어와 위생으로 손님을 맞이합니다. 흑돼지 대패삼겹살 외에도 흑돼지 오겹살, 목살, 모둠 등의 메뉴가 있어서 기호에 맞게 즐기실 수 있습니다. 농림축산부 지정 안심식당으로 늘 위생에 최선을 다합니다. 가게 한편에 셀프 코너가 마련되어 있어서 필요한 만큼 더 반찬을 드실 수 있습니다. 제주 함덕해수욕장, 제주 소노벨리조트, 함덕 라마다호텔에서 가까워서 주변 숙박하시고 들리기 좋습니다. 저희 가게는 100퍼센트 국내산 김치, 고춧가루, 두부 등 밑반찬을 만듭니다. 안심하고 드세요. 흑돼지 대패삼겹살의 진수, 윤가네흑돼지에서 즐겨보세요. 소노벨 제주, 함덕해수욕장, 네네치킨 조천함덕점이 인접해 있습니다."
"주소","제주 제주시 조천읍 신북로 572"
"주소(도로명)","제주특별자치도 제주시 조천읍 신북로 572"
"주소(지번주소)","제주특별자치도 제주시 조천읍 함덕리 957-3"
"대표번호","0507-1465-7769"
"영업시간","17:00-24:00"
"휴무일","전화문의"
"취급메뉴","흑돼지 대패삼겹살, 흑돼지 오겹살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 가성비가 좋아요, 특별한 메뉴가 있어요"
