"관광타입","음식점"
"음식점명","옥이이모"
"개요","한치 물회 개시합니다. 한치가 생물이 나오기 시작해서 최근 생물로 물회가 나가고 있습니다. 시원하고 맛있게 드시고 가세요. 제주시 민속오일장에서 이전하여 오픈하였습니다. 직접 담근 김치와 제철 나물들로 건강하고 맛있는 식사를 제공해 드리기 위해 노력하고 있습니다. 옥이이모에 오셔서 맛있는 한 끼 하고 가세요. 신전떡볶이 제주신촌점, 라스위트아파트가 인접해 있습니다."
"주소","제주 제주시 조천읍 신북로 86 101호 옥이이모"
"주소(도로명)","제주특별자치도 제주시 조천읍 신북로 86"
"주소(지번주소)","제주특별자치도 제주시 조천읍 신촌리 1789-1"
"대표번호","0507-1465-4260"
"영업시간","09:00-21:00"
"휴무일","매주 화요일"
"취급메뉴","한치물회, 몸국"
"주차시설 유무","있음"
"리뷰키워드","가성비가 좋아요, 음식이 맛있어요, 양이 많아요, 재료가 신선해요, 친절해요"
