"관광타입","음식점"
"음식점명","저팔계깡통숯불구이 함덕흑돼지"
"개요","함덕 해수욕장에 위치한 함덕 흑돼지 전문 저팔계깡통숯불구이 입니다. 저희는 제주산 흑돼지를 신선하게 그날그날 준비하여 가장 신선한 고기를 손님상에 대접하고 있습니다. 적당한 숯불에 두툼한 고기를 알맞게 구워드려 저희가 정성스레 준비한 반찬과 같이 드시면 더할 나위 없습니다. 제주에서 현지인분들이 자주 찾아주시는 만큼 함덕 흑돼지를 즐겨 하고 싶은 분들에게 소중한 시간을 보내실 수 있게 편안한 공간과 음식들을 준비했습니다. 감사합니다. 제주깜돈, 나라약국, 유탑유블레스호텔제주가 인접해 있습니다."
"주소","제주 제주시 조천읍 신북로 523 1층"
"주소(도로명)","제주특별자치도 제주시 조천읍 신북로 523"
"주소(지번주소)","제주특별자치도 제주시 조천읍 함덕리 1269-1"
"대표번호","0507-1479-8789"
"영업시간","13:00-22:00"
"휴무일","매주 수요일"
"취급메뉴","제주산 흑돼지 생갈비, 제주산 흑돼지 생오겹"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 가성비가 좋아요, 매장이 청결해요"
