"관광타입","음식점"
"음식점명","제라진밥상 제주함덕점"
"개요","매일 다른 메뉴를 원칙으로 합니다. 제주도 농수산물을 이용해 다양하고 맛있는 음식을 준비하고 있습니다. 이른 아침 출근길에, 여행 오신 분들 관광 출발 전에, 함덕해수욕장 바다 수영 가기 전이나 후에, 아이들 메뉴 걱정되는 가족들, 밥하기 귀찮으신 분들, 1인 테이블이 좋은 혼밥러, 입맛 없으신 분들, 메뉴가 늘 고민이신 분들, 모두에게 든든한 한 끼, 가성비와 가심비까지 만족하실 수 있도록 최선을 다하겠습니다. 감사합니다. 함덕2호어린이공원, 순풍해장국, 서우봉참기름집이 인접해 있습니다."
"주소","제주 제주시 조천읍 함와로 4"
"주소(도로명)","제주특별자치도 제주시 조천읍 함와로 4"
"주소(지번주소)","제주특별자치도 제주시 조천읍 함덕리 4150"
"대표번호","0507-1498-8858"
"영업시간","09:00-14:30"
"휴무일","매주 토요일"
"취급메뉴","백반"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 가성비가 좋아요, 친절해요, 반찬이 잘 나와요, 재료가 신선해요"
