"관광타입","음식점"
"음식점명","조천고깃간"
"개요","매주 화요일 휴무입니다. 매월 마지막 주 화요일, 수요일 휴무입니다. 16시부터 18시까지만 예약 가능하며, 18시 이후부터는 매장 상황에 따라 대기가 있을 수 있습니다. 제주도 조천에 위치한 조천 흑돼지 맛집 조천고깃간입니다. 정말 맛있는 흑돼지와 장아찌들의 향연, 저희 조천고깃간에서만 만날 수 있는 톳 장아찌의 매력에 빠져보세요. 연탄불에 구워 더욱 맛있는 돼지고기와 함께 즐길 수 있는 흑돼지 김치찌개, 비빔국수 그리고 살얼음 가득한 동치미국수까지 있습니다. 예쁜 타일에서 먹는 돼지고기의 맛은 더욱 특별합니다. 우정새마을금고본점, 씨유 제주조천점, 태화떡방앗간이 인접해 있습니다."
"주소","제주 제주시 조천읍 신북로 214"
"주소(도로명)","제주특별자치도 제주시 조천읍 신북로 214"
"주소(지번주소)","제주특별자치도 제주시 조천읍 조천리 2229-1"
"대표번호","0507-1481-0269"
"영업시간","16:00-23:00"
"휴무일","전화문의"
"취급메뉴","흑돼지 오겹살, 흑돼지 목살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 매장이 청결해요, 특별한 메뉴가 있어요"
