"관광타입","음식점"
"음식점명","갈치옥 함덕"
"개요","제주도 함덕해수욕장 맛집 TOP5입니다. 오션뷰에서 즐기는 진짜 휴식, 나에게로의 보상, 입이 즐겁고, 눈도 즐겁고, 코도 즐겁고, 공기도 상쾌하고 함덕해수욕장 필수 코스입니다. 모든 식재료는 거의 제주에서 자란 싱싱한 재료로 직접 공수, 손질합니다. 제주도를 대표하는 제주 은갈치 전문점답게 특등급 갈치를 공수해서 갈치하면 그때 거기 갈치옥이 생각날 수 있게 좋은 재료만 엄선합니다. 예약 시에도 미리 조리하지 않고, 손님을 모신 후 조리를 시작하기 때문에 제주도 향토 토속음식의 정갈하고 신선함을 맛보실 수 있습니다. 제주도를 최대한 만끽하시라고 갈치 외에도 돔베 고기, 전복 물회 등 다양한 사이드 메뉴를 준비해 드립니다. 식사를 제대로 즐기시도록 통유리로 아름다운 함덕해수욕장 오션뷰를 감상하실 수 있고, 좌석 간 배치를 넓게 하여 여유롭게 소중한 분들과 도란도란 식사를 즐기실 수 있습니다. 제주갈치조림, 제주갈치구이의 선두주자로 고객만족에 항상 온 신경을 곤두세우고 있습니다. 맛은 물론 청결과 서비스 마인드까지 기분 좋은 기억만 드리는 게 갈치옥의 마음가짐입니다. 제주도 함덕해수욕장 근처 맛집 갈치옥에 오셔서 기분 좋은 추억 남기세요. 함덕해수욕장, 롯데리아 제주함덕점이 인접해 있습니다. "
"주소","제주 제주시 조천읍 조함해안로 530 2층 2호"
"주소(도로명)","제주특별자치도 제주시 조천읍 조함해안로 530"
"주소(지번주소)","제주특별자치도 제주시 조천읍 함덕리 1004-30"
"대표번호","0507-1481-6014"
"영업시간","10:00-22:00"
"휴무일","없음"
"취급메뉴","통갈치구이, 통갈치조림"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 뷰가 좋아요, 친절해요, 재료가 신선해요, 매장이 청결해요"
