"관광타입","음식점"
"음식점명","칠돈가 함덕 흑돼지"
"개요","제주 함덕 맛집, 함덕해수욕장 흑돼지 숯불구이 전문점 칠돈가입니다. 저희 함덕점 만의 특징은 흑돼지 오겹살, 목살에 이어 특수 부위인 갈매기살을 함께 즐길 수 있다는 것입니다. 손수 만든 다양한 밑반찬과 곁들여 먹는 것 또한 다양한 맛을 즐기는 재미입니다. 은은한 숯불에 구워 멜젓에 찍어 먹어 보면 누구나 감동합니다. 멜젓은 취향에 따라서 공깃밥에 비벼 먹어도 특색 있는 맛이 있으니 꼭 드셔보세요. 대표 메뉴로는 흑돼지 2인 세트로 가성비가 아주 좋습니다. 시간에 상관없이 주문 가능하니 많은 사랑 부탁드립니다. 소노벨 제주, 함덕해수욕장, 형설지공서우학원이 인접해 있습니다."
"주소","제주 제주시 조천읍 함와로 12 칠돈가 함덕점"
"주소(도로명)","제주특별자치도 제주시 조천읍 함와로 12"
"주소(지번주소)","제주특별자치도 제주시 조천읍 함덕리 4150-5"
"대표번호","0507-1302-9092"
"영업시간","12:00-22:00"
"휴무일","매주 화요일"
"취급메뉴","흑돼지 오겹살, 갈매기살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 가성비가 좋아요, 매장이 청결해요"
