"관광타입","음식점"
"음식점명","어멍"
"개요","200평 규모의 쾌적한 공간, 여유 있는 테이블 배치와 편안한 서비스 제주가 자랑하는 청정지역 최고 품질의 제주 흑돼지를 맛보세요. 어멍은 제주 사투리로 어머니라는 뜻입니다. 청정 제주지역의 최고 품질의 생고기만을 취급하며, 어머니의 마음으로 안심하고 편안하게 즐기고 드실 수 있는 청정 제주산 흑돼지구이 전문점입니다. 대명레저산업, 오드랑베이커리, 모리아짬뽕이 인접해 있습니다."
"주소","제주 제주시 조천읍 신북로 577 소노벨 제주 TOWER C 1F"
"주소(도로명)","제주특별자치도 제주시 조천읍 신북로 577"
"주소(지번주소)","제주특별자치도 제주시 조천읍 함덕리 274"
"대표번호","0507-1462-5131"
"영업시간","11:30-22:00"
"휴무일","없음"
"취급메뉴","흑돼지오겹살, 돔베고기"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 매장이 넓어요, 매장이 청결해요, 친절해요, 재료가 신선해요"
