"관광타입","음식점"
"음식점명","오늘의미미"
"개요","주차는 서우봉 주차장을 이용해 주세요. 야영장 주변 길가 주차도 가능합니다. 가게 앞 주차는 한 두 대 정도 가능한데 골목이 많이 좁아 초보 운전자는 서우봉 주차 이용해 주세요. 주차 문의 매장으로 전화 주시면 안내해 드립니다. 함덕 바닷가의 매주 메뉴가 달라지는 작은 식당입니다. 함덕 서우봉에서 도보 3분 거리이며, 인스타그램을 운영 중입니다. 자세한 정보를 확인할 수 있습니다. 모든 재료는 제주산, 국내산 제철 재료를 사용하며 화학조미료는 전혀 사용하지 않는 건강한 식사를 준비하고 있습니다. 함덕 맛집이 되는 그날까지 파이팅 하겠습니다. 많은 사랑 부탁드립니다. 서우봉, 함덕해수욕장, 함덕 서우재가 인접해 있습니다."
"주소","제주 제주시 조천읍 평사길 24 1층"
"주소(도로명)","제주특별자치도 제주시 조천읍 평사길 24"
"주소(지번주소)","제주특별자치도 제주시 조천읍 함덕리 249-2"
"대표번호","064-782-0768"
"영업시간","09:00-16:00"
"휴무일","매주 일요일"
"취급메뉴","미미 오겹살 덮밥, 제주생선 데리야키 정식"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 청결해요, 혼밥하기 좋아요"
