"관광타입","음식점"
"음식점명","몽땅 신화월드점"
"개요","그날그날 도축한 신선한 흑돼지로 주문 즉시 만드는 제주도 돈가스와 제주 치즈 돈가스를 맛볼 수 있습니다. 제주도 서귀포 대정읍 해녀가 잡은 보말로 조리한 제주 보말 파스타 제주의 맛을 느낄 수 있습니다. 제주 신화 월드와 제주 오설록 티 뮤지엄 관광 여행 후 식사할 수 있는 곳입니다. 직접 수확한 제주 팥으로 팥빙수 만들고 있습니다. 항상 고객님들께 친절한 서비스와 제주도 신선한 식재료로 돈가스와 파스타의 정성을 더하여 변함없는 맛과 청결 유지에 힘쓰도록 하겠습니다. 주변 가볼 만한 곳은 오설록 티 뮤지엄, 제주 신화월드, 유리의성, 생각하는정원, 노리메, 카멜리아힐 등이 있습니다. 넓은 잔디와 제주 환경을 느낄 수 있는 곳입니다. 매주 수요일은 정기휴무일입니다. 제주를품다, 준농장이 인접해 있습니다."
"주소","제주 제주시 한경면 연명로 385 몽땅"
"주소(도로명)","제주특별자치도 제주시 한경면 연명로 385"
"주소(지번주소)","제주특별자치도 제주시 한경면 청수리 157-11"
"대표번호","0507-1357-3241"
"영업시간","11:00-20:00"
"휴무일","매주 수요일"
"취급메뉴","제주도 돈가스, 보말 크림 파스타"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 매장이 청결해요, 주차하기 편해요, 인테리어가 멋져요"
