"관광타입","음식점"
"음식점명","종배네"
"개요","제주도 출신 주방장 종배가 운영하는 흑돼지 전문점입니다. 3개의 방과 넓은 홀이 있어 모임을 하기도 좋고, 오붓하게 먹기도 좋은 가게입니다. 제주도 맛집, 한경면 맛집, 고산리 맛집, 수월봉 맛집, 흑돼지 요리 전문점입니다. 점심 요리는 흑돼지 짬뽕, 흑돼지 라멘, 흑돼지 돈가스, 흑돼지 햄버그스테이크, 흑돼지 덮밥이 있습니다. 저녁 요리는 흑돼지 목살, 오겹살, 삼겹살, 양념갈비, 생새우 구이, 자투리 구이가 있습니다. 후식 메뉴는 흑돼지 김치찌개, 새우 된장찌개, 물 소면, 비빔 소면이 있습니다. 코로나가 끝나는 날까지 목살 양념구이 2인분 시키시면 1인분 더 드립니다. 고기를 드시는 모든 분들께 생새우 서비스 드립니다. 주변 30분 이내 픽업 드롭 서비스합니다. SNS 인증 시 음료 1병 서비스 드립니다. 방문 후기 작성 시 주류 1병 서비스 드립니다. 고산우체국, 고마루, 고산함지박이 인접해 있습니다."
"주소","제주 제주시 한경면 고락로 2"
"주소(도로명)","제주특별자치도 제주시 한경면 고락로 2"
"주소(지번주소)","제주특별자치도 제주시 한경면 고산리 2211-1"
"대표번호","064-773-9233"
"영업시간","10:00-22:00"
"휴무일","없음"
"취급메뉴","흑돼지오겹살, 흑돼지목살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 가성비가 좋아요, 친절해요, 재료가 신선해요, 매장이 넓어요"
