"관광타입","음식점"
"음식점명","평산제면소"
"개요","안녕하세요. 평산제면소입니다. 가장 제주스럽고 신창 풍차 해안 도로로 유명한 서쪽 마을 신창리에 자리하고 있습니다. 제면소라는 이름답게 자가제면으로 탱글하고 쫄깃한 면을 맛보실 수 있습니다. 어디에서도 맛보실 수 없는 평산제면소만의 메뉴를 맛 보여드리기 위해 항상 노력하고 있습니다. 평산제면소는 1인 오너 셰프 운영 체제로 주문 시 조리가 시작됩니다. 다소 시간이 걸릴 수 있으니 양해 바랍니다. 애아리, 사랑식당이 인접해 있습니다."
"주소","제주 제주시 한경면 두신로 42 평산제면소"
"주소(도로명)","제주특별자치도 제주시 한경면 두신로 42"
"주소(지번주소)","제주특별자치도 제주시 한경면 신창리 461-1"
"대표번호","0507-1467-0215"
"영업시간","11:30-14:30"
"휴무일","매주 수요일"
"취급메뉴","한우고사리들기름소바, 해초명태회비빔소바"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 혼밥하기 좋아요, 특별한 메뉴가 있어요"
