"관광타입","음식점"
"음식점명","수월봉별난횟집 제주시 한경면"
"개요","안녕하세요. 수월봉별난횟집 입니다. 바다 뷰가 바로 보이는 수월봉별난횟집에서 자연산 회와 해녀가 직접 잡은 해산물을 맛보세요. 저희 수월봉별난횟집은 차귀도와 와도포구에 가까이 있어 즐겁게 배낚시체험 후 맛있는 식사를 할 수 있는 곳입니다. 배낚시 후 직접 잡으신 생선으로 회와 튀김과 매운탕까지 준비해 드리니 더욱 특별한 맛을 느끼실 수 있으실 겁니다. 저희 업소를 찾아주시면 고객님들의 여행이 즐겁고 색다른 경험과 추억이 될 것이라 생각합니다. 감사합니다. 차귀도잠수함승선장, 진성배낚시가 인접해 있습니다."
"주소","제주 제주시 한경면 노을해안로 1150"
"주소(도로명)","제주특별자치도 제주시 한경면 노을해안로 1150"
"주소(지번주소)","제주특별자치도 제주시 한경면 고산리 3613"
"대표번호","064-773-8882"
"영업시간","09:00-21:00"
"휴무일","전화문의"
"취급메뉴","회정식, 구이정식"
"주차시설 유무","있음"
"리뷰키워드","가성비가 좋아요, 음식이 맛있어요, 친절해요, 매장이 넓어요, 재료가 신선해요"
