"관광타입","음식점"
"음식점명","남도맛집"
"개요","제주 자연의 멋과 아름다움을 함께 품고 있는 제주 남도 맛집입니다. 저희는 건강을 우선으로 한 건강한 밥상을 선보이기 위해 많은 노력을 해왔습니다. 저희 남도 맛집에서 사용되는 전복은 모두 활전복을 사용하고 있으며 보기만 해도 푸짐하고 아름다운 한 끼를 준비합니다. 주차장도 넓게 마련되어 있어 제주여행 오시는 분들 또는 가족, 모임 있으신 분들은 주차 걱정 없이 편안하게 이용하실 수 있습니다. 카페하리, 푸지그랑이 인접해 있습니다."
"주소","제주 제주시 한경면 명이2길 10"
"주소(도로명)","제주특별자치도 제주시 한경면 명이2길 10"
"주소(지번주소)","제주특별자치도 제주시 한경면 저지리 2975-1"
"대표번호","0507-1421-7203"
"영업시간","09:00-20:00"
"휴무일","매주 수요일"
"취급메뉴","전복돌솥밥, 전복갈치세트"
"주차시설 유무","있음"
"리뷰키워드","없음"
