"관광타입","음식점"
"음식점명","스톤그레이"
"개요","안녕하세요. 제주에서 가장 맛있는 뷰와 안주를 가지고 있는 스톤그레이입니다. 저희는 최고의 극찬 메뉴 해산물 샥슈카와 싱싱한 딱새우 회, 대패삼겹을 직화에 바로 볶아서 만드는 시오야끼, 모둠꼬치 등 다양한 메뉴와 함께 좋은 곳에서 간단히 한 잔하시고 가실 수 있도록 준비하였습니다. 또한 집에 돌아가시기 어려우신 분을 위해 미리 말씀 주시면 게스트하우스도 같이 준비되어 있기 때문에 편하게 한 잔하시고 주무시고 가시면 됩니다. 감사합니다. 카페원웨이, 646미터퍼세크가 인접해 있습니다."
"주소","제주 제주시 한경면 일주서로 4459-10 1층"
"주소(도로명)","제주특별자치도 제주시 한경면 일주서로 4459-10"
"주소(지번주소)","제주특별자치도 제주시 한경면 금등리 652"
"대표번호","0507-1316-8495"
"영업시간","19:00-24:00"
"휴무일","매주 월요일"
"취급메뉴","해산물 샥슈카, 딱새우"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 특별한 메뉴가 있어요, 대화하기 좋아요, 인테리어가 멋져요"
