"관광타입","음식점"
"음식점명","만덕식당"
"개요","여행에서 가장 중요한 경험 중 하나는 음식입니다. 제주 여행 가이드 1세대 출신인 주인장은 관광지 식당에서도 제대로 된 음식을 먹을 수 있어야 한다는 생각으로 오늘도 불앞에 섭니다. 제주 서쪽 끝 차귀도가 보이는 고산 자구내포구에 위치한 만덕식당입니다. 대표 메뉴인 갈치조림을 비롯하여 갈치구이, 고등어조림, 고등어구이, 성게미역국 등의 요리는 물론이고 매일 만드는 반찬에도 밥알 하나하나에도 맛과 정성을 다합니다. 맛있게 드시고 건강하시고 행복하세요. 고맙습니다. 자구내포구가 인접해 있습니다."
"주소","제주 제주시 한경면 노을해안로 1168 만덕식당"
"주소(도로명)","제주특별자치도 제주시 한경면 노을해안로 1168"
"주소(지번주소)","제주특별자치도 제주시 한경면 고산리 3606-2"
"대표번호","064-772-3356"
"영업시간","09:00-19:00"
"휴무일","매주 화요일"
"취급메뉴","갈치조림, 고등어조림"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 가성비가 좋아요, 양이 많아요"
