"관광타입","음식점"
"음식점명","탐라반상 "
"개요","1. 건강하고 맛있는 제주가정식 입니다. 2. SIGNATURE, 취향존중 3. 단체식사, 단독대관, 수학여행, 골프여행, 세미나, 기업행사 제주 로컬 식재료를 활용한 마음 담은 음식을 준비합니다. 4. 런치, 탐라반상, 제주자연한식 입니다. 5. 디너, 탐라반상 Grill, 일일한정판, 인생고기플래터와 셀프바 6.사전예약, 카카오채널 탐라반상 입니다. 7. 당일예약, 선착순 잔여석한정 입니다. 8. 단독대관, 프라이빗 대관, 케이터링, 스몰웨딩 가능합니다. 9. 케이터링, 수제도시락, 단체식사 개별문의 바랍니다. 10. 바베큐케이터링 딜리버리 가능합니다. 환상숲, 오설록, 신화월드, 산양큰엉곶, 운잔항, 새별오름, 카멜리아힐, 중문, 서귀포, 산방산, 송악산, 마라도, 금오름, 신창풍차해안도로, 현재해수욕장, 금릉해변, 중문색달변해변, 애월한담해변, 제주공항, 명이동못, 고운물이 인접해 있습니다."
"주소","제주 제주시 한경면 녹차분재로 571"
"주소(도로명)","제주특별자치도 제주시 한경면 녹차분재로 571"
"주소(지번주소)","제주특별자치도 제주시 한경면 저지리 2965-3"
"대표번호","0507-1337-2070"
"영업시간","11:00-20:00"
"휴무일","없음"
"취급메뉴","제주자연한식, 탐라반상"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 특별한 메뉴가 있어요, 메뉴 구성이 알차요"
